Agence,NomAgence,Référence,Type,Arrêt,Adresse,Ville,Secteur Inter.,Nom Client,Nom Technicien,adresse_complete,longitude,latitude
1,Agence Genas,AF259145,Ascenseur,Non,50 RUE GEORGES COURTELINE,VILLEURBANNE,27,FOYER LE PRE VERT,Luc CHAROLLAIS,"50 RUE GEORGES COURTELINE, VILLEURBANNE, France",4.8796792,45.7794457
1,Agence Genas,AF259146,Ascenseur,Non,50 RUE GEORGES COURTELINE,VILLEURBANNE,27,FOYER LE PRE VERT,Luc CHAROLLAIS,"50 RUE GEORGES COURTELINE, VILLEURBANNE, France",4.8796792,45.7794457
1,Agence Genas,AF214955,Ascenseur,Non,35 rue Cavenne,LYON,57,SDC MERIEUX,Anouar BEN MESSAOUD,"35 rue Cavenne, LYON, France",4.8383123,45.7519751
1,Agence Genas,2507699,EPMR elevtr pr pers a mobilité reduite,Non,20 impasse des tilleuls,VILLEURBANNE,27,LOMATY,Luc CHAROLLAIS,"20 impasse des tilleuls, VILLEURBANNE, France",4.8800015,45.7802076
1,Agence Genas,AF259168,Ascenseur,Non,45 ROUTE DE VIENNE,LYON,45,45 ROUTE DE VIENNE,Mohamed BESSAFI,"45 ROUTE DE VIENNE, LYON, France",4.850946,45.7420715
1,Agence Genas,AF259173,Portail,Non,1-11 RUE JEAN PAUL CHARRA,Vaulx en Velin,21,SDC LE VERT HORIZON,Romain RICORDEAU ,"1-11 RUE JEAN PAUL CHARRA, Vaulx en Velin, France",4.9190225,45.7900785
1,Agence Genas,AF259175,Ascenseur,Non,54/57 QUAI PERRACHE,LYON,71,CAMPUS GALILEO,Kenzy CHABBI,"54/57 QUAI PERRACHE, LYON, France",4.8240219,45.74113
1,Agence Genas,AF259176,Ascenseur,Non,54/57 QUAI PERRACHE,LYON,71,CAMPUS GALILEO,Kenzy CHABBI,"54/57 QUAI PERRACHE, LYON, France",4.8240219,45.74113
1,Agence Genas,AF259177,Ascenseur,Non,54/57 QUAI PERRACHE,LYON,71,CAMPUS GALILEO,Kenzy CHABBI,"54/57 QUAI PERRACHE, LYON, France",4.8240219,45.74113
1,Agence Genas,AF259178,Ascenseur,Non,54/57 QUAI PERRACHE,LYON,71,CAMPUS GALILEO,Kenzy CHABBI,"54/57 QUAI PERRACHE, LYON, France",4.8240219,45.74113
